cement,slag,flyash,superplasticizer,coarseaggregate,fineaggregate,csMPa,boxcox_age
540.0,0.0,0.0,2.5,1040.0,676.0,79.99,3.619520424593887
540.0,0.0,0.0,2.5,1055.0,676.0,61.89,3.619520424593887
332.5,142.5,0.0,0.0,932.0,594.0,40.27,6.4411532071317215
332.5,142.5,0.0,0.0,932.0,594.0,41.05,6.840673565192089
198.6,132.4,0.0,0.0,978.4,825.5,44.3,6.822265360074817
266.0,114.0,0.0,0.0,932.0,670.0,47.03,5.034165871542133
380.0,95.0,0.0,0.0,932.0,594.0,43.7,6.840673565192089
380.0,95.0,0.0,0.0,932.0,594.0,36.45,3.619520424593887
266.0,114.0,0.0,0.0,932.0,670.0,45.85,3.619520424593887
475.0,0.0,0.0,0.0,932.0,594.0,39.29,3.619520424593887
198.6,132.4,0.0,0.0,978.4,825.5,38.07,5.034165871542133
198.6,132.4,0.0,0.0,978.4,825.5,28.02,3.619520424593887
427.5,47.5,0.0,0.0,932.0,594.0,43.01,6.4411532071317215
190.0,190.0,0.0,0.0,932.0,670.0,42.33,5.034165871542133
304.0,76.0,0.0,0.0,932.0,670.0,47.81,3.619520424593887
380.0,0.0,0.0,0.0,932.0,670.0,52.91,5.034165871542133
139.6,209.4,0.0,0.0,1047.0,806.9,39.36,5.034165871542133
342.0,38.0,0.0,0.0,932.0,670.0,56.14,6.840673565192089
380.0,95.0,0.0,0.0,932.0,594.0,40.56,5.034165871542133
475.0,0.0,0.0,0.0,932.0,594.0,42.62,5.913041856405525
427.5,47.5,0.0,0.0,932.0,594.0,41.84,5.913041856405525
139.6,209.4,0.0,0.0,1047.0,806.9,28.24,3.619520424593887
139.6,209.4,0.0,0.0,1047.0,806.9,8.06,1.1287049591623788
139.6,209.4,0.0,0.0,1047.0,806.9,44.21,5.913041856405525
380.0,0.0,0.0,0.0,932.0,670.0,52.52,6.840673565192089
380.0,0.0,0.0,0.0,932.0,670.0,53.3,6.4411532071317215
380.0,95.0,0.0,0.0,932.0,594.0,41.15,6.4411532071317215
342.0,38.0,0.0,0.0,932.0,670.0,52.12,5.913041856405525
427.5,47.5,0.0,0.0,932.0,594.0,37.43,3.619520424593887
475.0,0.0,0.0,0.0,932.0,594.0,38.6,2.0416515282410117
304.0,76.0,0.0,0.0,932.0,670.0,55.26,6.840673565192089
266.0,114.0,0.0,0.0,932.0,670.0,52.91,6.840673565192089
198.6,132.4,0.0,0.0,978.4,825.5,41.72,5.913041856405525
475.0,0.0,0.0,0.0,932.0,594.0,42.13,6.4411532071317215
190.0,190.0,0.0,0.0,932.0,670.0,53.69,6.840673565192089
237.5,237.5,0.0,0.0,932.0,594.0,38.41,6.4411532071317215
237.5,237.5,0.0,0.0,932.0,594.0,30.08,3.619520424593887
332.5,142.5,0.0,0.0,932.0,594.0,37.72,5.034165871542133
475.0,0.0,0.0,0.0,932.0,594.0,42.23,5.034165871542133
237.5,237.5,0.0,0.0,932.0,594.0,36.25,5.913041856405525
342.0,38.0,0.0,0.0,932.0,670.0,50.46,5.034165871542133
427.5,47.5,0.0,0.0,932.0,594.0,43.7,6.840673565192089
237.5,237.5,0.0,0.0,932.0,594.0,39.0,6.840673565192089
380.0,0.0,0.0,0.0,932.0,670.0,53.1,5.913041856405525
427.5,47.5,0.0,0.0,932.0,594.0,41.54,5.034165871542133
427.5,47.5,0.0,0.0,932.0,594.0,35.08,2.0416515282410117
349.0,0.0,0.0,0.0,1047.0,806.9,15.05,1.1287049591623788
380.0,95.0,0.0,0.0,932.0,594.0,40.76,5.913041856405525
237.5,237.5,0.0,0.0,932.0,594.0,26.26,2.0416515282410117
380.0,95.0,0.0,0.0,932.0,594.0,32.82,2.0416515282410117
332.5,142.5,0.0,0.0,932.0,594.0,39.78,5.913041856405525
190.0,190.0,0.0,0.0,932.0,670.0,46.93,5.913041856405525
237.5,237.5,0.0,0.0,932.0,594.0,33.12,5.034165871542133
304.0,76.0,0.0,0.0,932.0,670.0,49.19,5.034165871542133
139.6,209.4,0.0,0.0,1047.0,806.9,14.59,2.0416515282410117
198.6,132.4,0.0,0.0,978.4,825.5,14.64,2.0416515282410117
475.0,0.0,0.0,0.0,932.0,594.0,41.93,6.840673565192089
198.6,132.4,0.0,0.0,978.4,825.5,9.13,1.1287049591623788
304.0,76.0,0.0,0.0,932.0,670.0,50.95,5.913041856405525
332.5,142.5,0.0,0.0,932.0,594.0,33.02,3.619520424593887
304.0,76.0,0.0,0.0,932.0,670.0,54.38,6.4411532071317215
266.0,114.0,0.0,0.0,932.0,670.0,51.73,6.4411532071317215
310.0,0.0,0.0,0.0,971.0,850.6,9.87,1.1287049591623788
190.0,190.0,0.0,0.0,932.0,670.0,50.66,6.4411532071317215
266.0,114.0,0.0,0.0,932.0,670.0,48.7,5.913041856405525
342.0,38.0,0.0,0.0,932.0,670.0,55.06,6.4411532071317215
139.6,209.4,0.0,0.0,1047.0,806.9,44.7,6.822265360074817
332.5,142.5,0.0,0.0,932.0,594.0,30.28,2.0416515282410117
190.0,190.0,0.0,0.0,932.0,670.0,40.86,3.619520424593887
485.0,0.0,0.0,0.0,1120.0,800.0,71.99,3.619520424593887
374.0,189.2,0.0,10.1,926.1,756.7,34.4,1.1287049591623788
313.3,262.2,0.0,8.6,1046.9,611.8,28.8,1.1287049591623788
425.0,106.3,0.0,16.5,852.1,887.1,33.4,1.1287049591623788
425.0,106.3,0.0,18.6,936.0,803.7,36.3,1.1287049591623788
375.0,93.8,0.0,23.4,852.1,992.6,29.0,1.1287049591623788
475.0,118.8,0.0,8.9,852.1,781.5,37.8,1.1287049591623788
469.0,117.2,0.0,32.2,852.1,840.5,40.2,1.1287049591623788
425.0,106.3,0.0,16.5,852.1,887.1,33.4,1.1287049591623788
388.6,97.1,0.0,12.1,852.1,925.7,28.1,1.1287049591623788
531.3,0.0,0.0,28.2,852.1,893.7,41.3,1.1287049591623788
425.0,106.3,0.0,16.5,852.1,887.1,33.4,1.1287049591623788
318.8,212.5,0.0,14.3,852.1,880.4,25.2,1.1287049591623788
401.8,94.7,0.0,11.4,946.8,852.1,41.1,1.1287049591623788
362.6,189.0,0.0,11.6,944.7,755.8,35.3,1.1287049591623788
323.7,282.8,0.0,10.3,942.7,659.9,28.3,1.1287049591623788
379.5,151.2,0.0,15.9,1134.3,605.0,28.6,1.1287049591623788
362.6,189.0,0.0,11.6,944.7,755.8,35.3,1.1287049591623788
286.3,200.9,0.0,11.2,1004.6,803.7,24.4,1.1287049591623788
362.6,189.0,0.0,11.6,944.7,755.8,35.3,1.1287049591623788
439.0,177.0,0.0,11.1,884.9,707.9,39.3,1.1287049591623788
389.9,189.0,0.0,22.0,944.7,755.8,40.6,1.1287049591623788
362.6,189.0,0.0,11.6,944.7,755.8,35.3,1.1287049591623788
337.9,189.0,0.0,9.5,944.7,755.8,24.1,1.1287049591623788
374.0,189.2,0.0,10.1,926.1,756.7,46.2,2.0416515282410117
313.3,262.2,0.0,8.6,1046.9,611.8,42.8,2.0416515282410117
425.0,106.3,0.0,16.5,852.1,887.1,49.2,2.0416515282410117
425.0,106.3,0.0,18.6,936.0,803.7,46.8,2.0416515282410117
375.0,93.8,0.0,23.4,852.1,992.6,45.7,2.0416515282410117
475.0,118.8,0.0,8.9,852.1,781.5,55.6,2.0416515282410117
469.0,117.2,0.0,32.2,852.1,840.5,54.9,2.0416515282410117
425.0,106.3,0.0,16.5,852.1,887.1,49.2,2.0416515282410117
388.6,97.1,0.0,12.1,852.1,925.7,34.9,2.0416515282410117
531.3,0.0,0.0,28.2,852.1,893.7,46.9,2.0416515282410117
425.0,106.3,0.0,16.5,852.1,887.1,49.2,2.0416515282410117
318.8,212.5,0.0,14.3,852.1,880.4,33.4,2.0416515282410117
401.8,94.7,0.0,11.4,946.8,852.1,54.1,2.0416515282410117
362.6,189.0,0.0,11.6,944.7,755.8,55.9,2.0416515282410117
323.7,282.8,0.0,10.3,942.7,659.9,49.8,2.0416515282410117
379.5,151.2,0.0,15.9,1134.3,605.0,47.1,2.0416515282410117
362.6,189.0,0.0,11.6,944.7,755.8,55.9,2.0416515282410117
286.3,200.9,0.0,11.2,1004.6,803.7,38.0,2.0416515282410117
362.6,189.0,0.0,11.6,944.7,755.8,55.9,2.0416515282410117
439.0,177.0,0.0,11.1,884.9,707.9,56.1,2.0416515282410117
389.9,189.0,0.0,22.0,944.7,755.8,59.09,2.0416515282410117
362.6,189.0,0.0,11.6,944.7,755.8,22.9,2.0416515282410117
337.9,189.0,0.0,9.5,944.7,755.8,35.1,2.0416515282410117
374.0,189.2,0.0,10.1,926.1,756.7,61.09,3.619520424593887
313.3,262.2,0.0,8.6,1046.9,611.8,59.8,3.619520424593887
425.0,106.3,0.0,16.5,852.1,887.1,60.29,3.619520424593887
425.0,106.3,0.0,18.6,936.0,803.7,61.8,3.619520424593887
375.0,93.8,0.0,23.4,852.1,992.6,56.7,3.619520424593887
475.0,118.8,0.0,8.9,852.1,781.5,68.3,3.619520424593887
469.0,117.2,0.0,32.2,852.1,840.5,66.9,3.619520424593887
425.0,106.3,0.0,16.5,852.1,887.1,60.29,3.619520424593887
388.6,97.1,0.0,12.1,852.1,925.7,50.7,3.619520424593887
531.3,0.0,0.0,28.2,852.1,893.7,56.4,3.619520424593887
425.0,106.3,0.0,16.5,852.1,887.1,60.29,3.619520424593887
318.8,212.5,0.0,14.3,852.1,880.4,55.5,3.619520424593887
401.8,94.7,0.0,11.4,946.8,852.1,68.5,3.619520424593887
362.6,189.0,0.0,11.6,944.7,755.8,71.3,3.619520424593887
323.7,282.8,0.0,10.3,942.7,659.9,74.7,3.619520424593887
379.5,151.2,0.0,15.9,1134.3,605.0,52.2,3.619520424593887
362.6,189.0,0.0,11.6,944.7,755.8,71.3,3.619520424593887
286.3,200.9,0.0,11.2,1004.6,803.7,67.7,3.619520424593887
362.6,189.0,0.0,11.6,944.7,755.8,71.3,3.619520424593887
439.0,177.0,0.0,11.1,884.9,707.9,66.0,3.619520424593887
389.9,189.0,0.0,22.0,944.7,755.8,74.5,3.619520424593887
362.6,189.0,0.0,11.6,944.7,755.8,71.3,3.619520424593887
337.9,189.0,0.0,9.5,944.7,755.8,49.9,3.619520424593887
374.0,189.2,0.0,10.1,926.1,756.7,63.4,4.449548813158902
313.3,262.2,0.0,8.6,1046.9,611.8,64.9,4.449548813158902
425.0,106.3,0.0,16.5,852.1,887.1,64.3,4.449548813158902
425.0,106.3,0.0,18.6,936.0,803.7,64.9,4.449548813158902
375.0,93.8,0.0,23.4,852.1,992.6,60.2,4.449548813158902
475.0,118.8,0.0,8.9,852.1,781.5,72.3,4.449548813158902
469.0,117.2,0.0,32.2,852.1,840.5,69.3,4.449548813158902
425.0,106.3,0.0,16.5,852.1,887.1,64.3,4.449548813158902
388.6,97.1,0.0,12.1,852.1,925.7,55.2,4.449548813158902
531.3,0.0,0.0,28.2,852.1,893.7,58.8,4.449548813158902
425.0,106.3,0.0,16.5,852.1,887.1,64.3,4.449548813158902
318.8,212.5,0.0,14.3,852.1,880.4,66.1,4.449548813158902
401.8,94.7,0.0,11.4,946.8,852.1,73.7,4.449548813158902
362.6,189.0,0.0,11.6,944.7,755.8,77.3,4.449548813158902
323.7,282.8,0.0,10.3,942.7,659.9,80.2,4.449548813158902
379.5,151.2,0.0,15.9,1134.3,605.0,54.9,4.449548813158902
362.6,189.0,0.0,11.6,944.7,755.8,77.3,4.449548813158902
286.3,200.9,0.0,11.2,1004.6,803.7,72.99,4.449548813158902
362.6,189.0,0.0,11.6,944.7,755.8,77.3,4.449548813158902
439.0,177.0,0.0,11.1,884.9,707.9,71.7,4.449548813158902
389.9,189.0,0.0,22.0,944.7,755.8,79.4,4.449548813158902
362.6,189.0,0.0,11.6,944.7,755.8,77.3,4.449548813158902
337.9,189.0,0.0,9.5,944.7,755.8,59.89,4.449548813158902
374.0,189.2,0.0,10.1,926.1,756.7,64.9,5.047943774248994
313.3,262.2,0.0,8.6,1046.9,611.8,66.6,5.047943774248994
425.0,106.3,0.0,16.5,852.1,887.1,65.2,5.047943774248994
425.0,106.3,0.0,18.6,936.0,803.7,66.7,5.047943774248994
375.0,93.8,0.0,23.4,852.1,992.6,62.5,5.047943774248994
475.0,118.8,0.0,8.9,852.1,781.5,74.19,5.047943774248994
469.0,117.2,0.0,32.2,852.1,840.5,70.7,5.047943774248994
425.0,106.3,0.0,16.5,852.1,887.1,65.2,5.047943774248994
388.6,97.1,0.0,12.1,852.1,925.7,57.6,5.047943774248994
531.3,0.0,0.0,28.2,852.1,893.7,59.2,5.047943774248994
425.0,106.3,0.0,16.5,852.1,887.1,65.2,5.047943774248994
318.8,212.5,0.0,14.3,852.1,880.4,68.1,5.047943774248994
401.8,94.7,0.0,11.4,946.8,852.1,75.5,5.047943774248994
362.6,189.0,0.0,11.6,944.7,755.8,79.3,5.047943774248994
379.5,151.2,0.0,15.9,1134.3,605.0,56.5,5.047943774248994
362.6,189.0,0.0,11.6,944.7,755.8,79.3,5.047943774248994
286.3,200.9,0.0,11.2,1004.6,803.7,76.8,5.047943774248994
362.6,189.0,0.0,11.6,944.7,755.8,79.3,5.047943774248994
439.0,177.0,0.0,11.1,884.9,707.9,73.3,5.047943774248994
389.9,189.0,0.0,22.0,944.7,755.8,82.6,5.047943774248994
362.6,189.0,0.0,11.6,944.7,755.8,79.3,5.047943774248994
337.9,189.0,0.0,9.5,944.7,755.8,67.8,5.047943774248994
222.4,0.0,96.7,4.5,967.1,870.3,11.58,1.1287049591623788
222.4,0.0,96.7,4.5,967.1,870.3,24.45,2.8171962276052587
222.4,0.0,96.7,4.5,967.1,870.3,24.89,3.619520424593887
222.4,0.0,96.7,4.5,967.1,870.3,29.45,4.449548813158902
222.4,0.0,96.7,4.5,967.1,870.3,40.71,5.165842476197969
233.8,0.0,94.6,4.6,947.0,852.2,10.38,1.1287049591623788
233.8,0.0,94.6,4.6,947.0,852.2,22.14,2.8171962276052587
233.8,0.0,94.6,4.6,947.0,852.2,22.84,3.619520424593887
233.8,0.0,94.6,4.6,947.0,852.2,27.66,4.449548813158902
233.8,0.0,94.6,4.6,947.0,852.2,34.56,5.165842476197969
194.7,0.0,100.5,7.5,1006.4,905.9,12.45,1.1287049591623788
194.7,0.0,100.5,7.5,1006.4,905.9,24.99,2.8171962276052587
194.7,0.0,100.5,7.5,1006.4,905.9,25.72,3.619520424593887
194.7,0.0,100.5,7.5,1006.4,905.9,33.96,4.449548813158902
194.7,0.0,100.5,7.5,1006.4,905.9,37.34,5.165842476197969
190.7,0.0,125.4,7.8,1090.0,804.0,15.04,1.1287049591623788
190.7,0.0,125.4,7.8,1090.0,804.0,21.06,2.8171962276052587
190.7,0.0,125.4,7.8,1090.0,804.0,26.4,3.619520424593887
190.7,0.0,125.4,7.8,1090.0,804.0,35.34,4.449548813158902
190.7,0.0,125.4,7.8,1090.0,804.0,40.57,5.165842476197969
212.1,0.0,121.6,5.7,1057.6,779.3,12.47,1.1287049591623788
212.1,0.0,121.6,5.7,1057.6,779.3,20.92,2.8171962276052587
212.1,0.0,121.6,5.7,1057.6,779.3,24.9,3.619520424593887
212.1,0.0,121.6,5.7,1057.6,779.3,34.2,4.449548813158902
212.1,0.0,121.6,5.7,1057.6,779.3,39.61,5.165842476197969
230.0,0.0,118.3,4.6,1029.4,758.6,10.03,1.1287049591623788
230.0,0.0,118.3,4.6,1029.4,758.6,20.08,2.8171962276052587
230.0,0.0,118.3,4.6,1029.4,758.6,24.48,3.619520424593887
230.0,0.0,118.3,4.6,1029.4,758.6,31.54,4.449548813158902
230.0,0.0,118.3,4.6,1029.4,758.6,35.34,5.165842476197969
190.3,0.0,125.2,9.9,1088.1,802.6,9.45,1.1287049591623788
190.3,0.0,125.2,9.9,1088.1,802.6,22.72,2.8171962276052587
190.3,0.0,125.2,9.9,1088.1,802.6,28.47,3.619520424593887
190.3,0.0,125.2,9.9,1088.1,802.6,38.56,4.449548813158902
190.3,0.0,125.2,9.9,1088.1,802.6,40.39,5.165842476197969
166.1,0.0,163.3,4.5,1058.6,780.1,10.76,1.1287049591623788
166.1,0.0,163.3,4.5,1058.6,780.1,25.48,2.8171962276052587
166.1,0.0,163.3,4.5,1058.6,780.1,21.54,3.619520424593887
166.1,0.0,163.3,4.5,1058.6,780.1,28.63,4.449548813158902
166.1,0.0,163.3,4.5,1058.6,780.1,33.54,5.165842476197969
168.0,42.1,163.8,5.7,1058.7,780.1,7.75,1.1287049591623788
168.0,42.1,163.8,5.7,1058.7,780.1,17.82,2.8171962276052587
168.0,42.1,163.8,5.7,1058.7,780.1,24.24,3.619520424593887
168.0,42.1,163.8,5.7,1058.7,780.1,32.85,4.449548813158902
168.0,42.1,163.8,5.7,1058.7,780.1,39.23,5.165842476197969
213.7,98.1,24.5,6.9,1065.8,785.4,18.0,1.1287049591623788
213.7,98.1,24.5,6.9,1065.8,785.4,30.39,2.8171962276052587
213.7,98.1,24.5,6.9,1065.8,785.4,45.71,3.619520424593887
213.7,98.1,24.5,6.9,1065.8,785.4,50.77,4.449548813158902
213.7,98.1,24.5,6.9,1065.8,785.4,53.9,5.165842476197969
213.8,98.1,24.5,6.7,1066.0,785.5,13.18,1.1287049591623788
213.8,98.1,24.5,6.7,1066.0,785.5,17.84,2.8171962276052587
213.8,98.1,24.5,6.7,1066.0,785.5,40.23,3.619520424593887
213.8,98.1,24.5,6.7,1066.0,785.5,47.13,4.449548813158902
213.8,98.1,24.5,6.7,1066.0,785.5,49.97,5.165842476197969
229.7,0.0,118.2,6.1,1028.1,757.6,13.36,1.1287049591623788
229.7,0.0,118.2,6.1,1028.1,757.6,22.32,2.8171962276052587
229.7,0.0,118.2,6.1,1028.1,757.6,24.54,3.619520424593887
229.7,0.0,118.2,6.1,1028.1,757.6,31.35,4.449548813158902
229.7,0.0,118.2,6.1,1028.1,757.6,40.86,5.165842476197969
238.1,0.0,94.1,7.0,949.9,847.0,19.93,1.1287049591623788
238.1,0.0,94.1,7.0,949.9,847.0,25.69,2.8171962276052587
238.1,0.0,94.1,7.0,949.9,847.0,30.23,3.619520424593887
238.1,0.0,94.1,7.0,949.9,847.0,39.59,4.449548813158902
238.1,0.0,94.1,7.0,949.9,847.0,44.3,5.165842476197969
250.0,0.0,95.7,5.5,956.9,861.2,13.82,1.1287049591623788
250.0,0.0,95.7,5.5,956.9,861.2,24.92,2.8171962276052587
250.0,0.0,95.7,5.5,956.9,861.2,29.22,3.619520424593887
250.0,0.0,95.7,5.5,956.9,861.2,38.33,4.449548813158902
250.0,0.0,95.7,5.5,956.9,861.2,42.35,5.165842476197969
212.5,0.0,100.4,8.7,1007.8,903.6,13.54,1.1287049591623788
212.5,0.0,100.4,8.7,1007.8,903.6,26.31,2.8171962276052587
212.5,0.0,100.4,8.7,1007.8,903.6,31.64,3.619520424593887
212.5,0.0,100.4,8.7,1007.8,903.6,42.55,4.449548813158902
212.5,0.0,100.4,8.7,1007.8,903.6,42.92,5.165842476197969
212.6,0.0,100.4,10.4,1003.8,903.8,13.33,1.1287049591623788
212.6,0.0,100.4,10.4,1003.8,903.8,25.37,2.8171962276052587
212.6,0.0,100.4,10.4,1003.8,903.8,37.4,3.619520424593887
212.6,0.0,100.4,10.4,1003.8,903.8,44.4,4.449548813158902
212.6,0.0,100.4,10.4,1003.8,903.8,47.74,5.165842476197969
212.0,0.0,124.8,7.8,1085.4,799.5,19.52,1.1287049591623788
212.0,0.0,124.8,7.8,1085.4,799.5,31.35,2.8171962276052587
212.0,0.0,124.8,7.8,1085.4,799.5,38.5,3.619520424593887
212.0,0.0,124.8,7.8,1085.4,799.5,45.08,4.449548813158902
212.0,0.0,124.8,7.8,1085.4,799.5,47.82,5.165842476197969
231.8,0.0,121.6,6.7,1056.4,778.5,15.44,1.1287049591623788
231.8,0.0,121.6,6.7,1056.4,778.5,26.77,2.8171962276052587
231.8,0.0,121.6,6.7,1056.4,778.5,33.73,3.619520424593887
231.8,0.0,121.6,6.7,1056.4,778.5,42.7,4.449548813158902
231.8,0.0,121.6,6.7,1056.4,778.5,45.84,5.165842476197969
251.4,0.0,118.3,5.8,1028.4,757.7,17.22,1.1287049591623788
251.4,0.0,118.3,5.8,1028.4,757.7,29.93,2.8171962276052587
251.4,0.0,118.3,5.8,1028.4,757.7,29.65,3.619520424593887
251.4,0.0,118.3,5.8,1028.4,757.7,36.97,4.449548813158902
251.4,0.0,118.3,5.8,1028.4,757.7,43.58,5.165842476197969
251.4,0.0,118.3,6.4,1028.4,757.7,13.12,1.1287049591623788
251.4,0.0,118.3,6.4,1028.4,757.7,24.43,2.8171962276052587
251.4,0.0,118.3,6.4,1028.4,757.7,32.66,3.619520424593887
251.4,0.0,118.3,6.4,1028.4,757.7,36.64,4.449548813158902
251.4,0.0,118.3,6.4,1028.4,757.7,44.21,5.165842476197969
181.4,0.0,167.0,7.6,1055.6,777.8,13.62,1.1287049591623788
181.4,0.0,167.0,7.6,1055.6,777.8,21.6,2.8171962276052587
181.4,0.0,167.0,7.6,1055.6,777.8,27.77,3.619520424593887
181.4,0.0,167.0,7.6,1055.6,777.8,35.57,4.449548813158902
181.4,0.0,167.0,7.6,1055.6,777.8,45.37,5.165842476197969
182.0,45.2,122.0,8.2,1059.4,780.7,7.32,1.1287049591623788
182.0,45.2,122.0,8.2,1059.4,780.7,21.5,2.8171962276052587
182.0,45.2,122.0,8.2,1059.4,780.7,31.27,3.619520424593887
182.0,45.2,122.0,8.2,1059.4,780.7,43.5,4.449548813158902
182.0,45.2,122.0,8.2,1059.4,780.7,48.67,5.165842476197969
168.9,42.2,124.3,10.8,1080.8,796.2,7.4,1.1287049591623788
168.9,42.2,124.3,10.8,1080.8,796.2,23.51,2.8171962276052587
168.9,42.2,124.3,10.8,1080.8,796.2,31.12,3.619520424593887
168.9,42.2,124.3,10.8,1080.8,796.2,39.15,4.449548813158902
168.9,42.2,124.3,10.8,1080.8,796.2,48.15,5.165842476197969
290.4,0.0,96.2,9.4,961.2,865.0,22.5,1.1287049591623788
290.4,0.0,96.2,9.4,961.2,865.0,34.67,2.8171962276052587
290.4,0.0,96.2,9.4,961.2,865.0,34.74,3.619520424593887
290.4,0.0,96.2,9.4,961.2,865.0,45.08,4.449548813158902
290.4,0.0,96.2,9.4,961.2,865.0,48.97,5.165842476197969
277.1,0.0,97.4,11.8,973.9,875.6,23.14,1.1287049591623788
277.1,0.0,97.4,11.8,973.9,875.6,41.89,2.8171962276052587
277.1,0.0,97.4,11.8,973.9,875.6,48.28,3.619520424593887
277.1,0.0,97.4,11.8,973.9,875.6,51.04,4.449548813158902
277.1,0.0,97.4,11.8,973.9,875.6,55.64,5.165842476197969
295.7,0.0,95.6,8.9,955.1,859.2,22.95,1.1287049591623788
295.7,0.0,95.6,8.9,955.1,859.2,35.23,2.8171962276052587
295.7,0.0,95.6,8.9,955.1,859.2,39.94,3.619520424593887
295.7,0.0,95.6,8.9,955.1,859.2,48.72,4.449548813158902
295.7,0.0,95.6,8.9,955.1,859.2,52.04,5.165842476197969
251.8,0.0,99.9,12.4,1006.0,899.8,21.02,1.1287049591623788
251.8,0.0,99.9,12.4,1006.0,899.8,33.36,2.8171962276052587
251.8,0.0,99.9,12.4,1006.0,899.8,33.94,3.619520424593887
251.8,0.0,99.9,12.4,1006.0,899.8,44.14,4.449548813158902
251.8,0.0,99.9,12.4,1006.0,899.8,45.37,5.165842476197969
249.1,0.0,98.8,12.8,987.8,889.0,15.36,1.1287049591623788
249.1,0.0,98.8,12.8,987.8,889.0,28.68,2.8171962276052587
249.1,0.0,98.8,12.8,987.8,889.0,30.85,3.619520424593887
249.1,0.0,98.8,12.8,987.8,889.0,42.03,4.449548813158902
249.1,0.0,98.8,12.8,987.8,889.0,51.06,5.165842476197969
252.3,0.0,98.8,14.2,987.8,889.0,21.78,1.1287049591623788
252.3,0.0,98.8,14.2,987.8,889.0,42.29,2.8171962276052587
252.3,0.0,98.8,14.2,987.8,889.0,50.6,3.619520424593887
252.3,0.0,98.8,14.2,987.8,889.0,55.83,4.449548813158902
252.3,0.0,98.8,14.2,987.8,889.0,60.95,5.165842476197969
246.8,0.0,125.1,12.0,1086.8,800.9,23.52,1.1287049591623788
246.8,0.0,125.1,12.0,1086.8,800.9,42.22,2.8171962276052587
246.8,0.0,125.1,12.0,1086.8,800.9,52.5,3.619520424593887
246.8,0.0,125.1,12.0,1086.8,800.9,60.32,4.449548813158902
246.8,0.0,125.1,12.0,1086.8,800.9,66.42,5.165842476197969
275.1,0.0,121.4,9.9,1053.6,777.5,23.8,1.1287049591623788
275.1,0.0,121.4,9.9,1053.6,777.5,38.77,2.8171962276052587
275.1,0.0,121.4,9.9,1053.6,777.5,51.33,3.619520424593887
275.1,0.0,121.4,9.9,1053.6,777.5,56.85,4.449548813158902
275.1,0.0,121.4,9.9,1053.6,777.5,58.61,5.165842476197969
297.2,0.0,117.5,9.5,1022.8,753.5,21.91,1.1287049591623788
297.2,0.0,117.5,9.5,1022.8,753.5,36.99,2.8171962276052587
297.2,0.0,117.5,9.5,1022.8,753.5,47.4,3.619520424593887
